time,bid,ask,last,volume,time_msc,flags,volume_real,symbol
2024-11-20,73.025,73.649,72.417,4634820517131980898,129965,35,0.0,UKOIL.pro
2024-11-21,72.792,73.817,72.601,4634890252557460963,42061,35,0.0,UKOIL.pro
2024-11-15,43832.39,43834.25,43406.73,4676213164529061724,386425,35,0.0,US30.pro
2024-11-18,43486.85,43585.49,43322.14,4676204277726330225,278820,35,0.0,US30.pro
2024-11-19,43453.31,43557.44,42927.4,4676188627552698368,397640,35,0.0,US30.pro
2024-11-20,43346.86,43526.22,43121.65,4676213572722753536,353637,35,0.0,US30.pro
2024-11-21,43512.37,43518.65,43325.62,4676202771395400172,96458,35,0.0,US30.pro
2024-11-15,5953.51,5953.91,5858.15,4663187176057764577,253619,55,0.0,US500.pro
2024-11-18,5881.15,5917.49,5870.64,4663212739703110369,197647,55,0.0,US500.pro
2024-11-19,5904.75,5933.06,5840.2,4663234576004038001,305568,55,0.0,US500.pro
2024-11-20,5923.9,5943.8,5866.53,4663237863543805051,302393,55,0.0,US500.pro
2024-11-21,5924.57,5928.8,5890.97,4663223130087992852,123675,55,0.0,US500.pro
2024-11-15,68.333,68.493,66.681,4634405200803844325,169677,35,0.0,USOIL.pro
2024-11-18,66.725,69.318,66.5,4634556634341314658,145340,35,0.0,USOIL.pro
2024-11-19,68.958,69.69,68.424,4634568597027824861,159825,35,0.0,USOIL.pro
2024-11-20,69.207,69.885,68.581,4634550230785594491,108034,35,0.0,USOIL.pro
2024-11-21,68.947,70.042,68.788,4634624047598236860,32217,35,0.0,USOIL.pro
